"","Pos","Driver","Nationality","Car","Pts","year"
"755",2,"Alain
                    Prost
                    PRO","FRA","McLaren TAG","71.5",1984
"756",3,"Elio
                    de Angelis
                    DEA","ITA","Lotus Renault","34",1984
"757",4,"Michele
                    Alboreto
                    ALB","ITA","Ferrari","30.5",1984
"758",5,"Nelson
                    Piquet
                    PIQ","BRA","Brabham BMW","29",1984
"759",6,"Rene
                    Arnoux
                    ARN","FRA","Ferrari","27",1984
"760",7,"Derek
                    Warwick
                    WAR","GBR","Renault","23",1984
"761",8,"Keke
                    Rosberg
                    ROS","FIN","Williams Honda","20.5",1984
"762",9,"Ayrton
                    Senna
                    SEN","BRA","Toleman Hart","13",1984
"763",10,"Nigel
                    Mansell
                    MAN","GBR","Lotus Renault","13",1984
"764",11,"Patrick
                    Tambay
                    TAM","FRA","Renault","11",1984
"765",12,"Teo
                    Fabi
                    FAB","ITA","Brabham BMW","9",1984
"766",13,"Riccardo
                    Patrese
                    PAT","ITA","Alfa Romeo","8",1984
"767",14,"Jacques
                    Laffite
                    LAF","FRA","Williams Honda","5",1984
"768",15,"Thierry
                    Boutsen
                    BOU","BEL","Arrows BMW","5",1984
"769",16,"Eddie 
                    Cheever
                    CHE","USA","Alfa Romeo","3",1984
"770",17,"Stefan
                    Johansson
                    JOH","SWE","Toleman Hart","3",1984
"771",18,"Andrea
                    de Cesaris
                    DEC","ITA","Ligier Renault","3",1984
"772",19,"Piercarlo
                    Ghinzani
                    GHI","ITA","Osella Alfa Romeo","2",1984
"773",20,"Marc
                    Surer
                    SUR","SUI","Arrows BMW","1",1984
"774",1,"Alain
                    Prost
                    PRO","FRA","McLaren TAG","73",1985
"775",2,"Michele
                    Alboreto
                    ALB","ITA","Ferrari","53",1985
"776",3,"Keke
                    Rosberg
                    ROS","FIN","Williams Honda","40",1985
"777",4,"Ayrton
                    Senna
                    SEN","BRA","Lotus Renault","38",1985
"778",5,"Elio
                    de Angelis
                    DEA","ITA","Lotus Renault","33",1985
"779",6,"Nigel
                    Mansell
                    MAN","GBR","Williams Honda","31",1985
"780",7,"Stefan
                    Johansson
                    JOH","SWE","Ferrari","26",1985
"781",8,"Nelson
                    Piquet
                    PIQ","BRA","Brabham BMW","21",1985
"782",9,"Jacques
                    Laffite
                    LAF","FRA","Ligier Renault","16",1985
"783",10,"Niki
                    Lauda
                    LAU","AUT","McLaren TAG","14",1985
"784",11,"Thierry
                    Boutsen
                    BOU","BEL","Arrows BMW","11",1985
"785",12,"Patrick
                    Tambay
                    TAM","FRA","Renault","11",1985
"786",13,"Marc
                    Surer
                    SUR","SUI","Brabham BMW","5",1985
"787",14,"Derek
                    Warwick
                    WAR","GBR","Renault","5",1985
"788",15,"Philippe
                    Streiff
                    STR","FRA","Ligier Renault","4",1985
"789",16,"Stefan
                    Bellof
                    BEL","GER","Tyrrell Renault","4",1985
"790",17,"Andrea
                    de Cesaris
                    DEC","ITA","Ligier Renault","3",1985
"791",18,"Rene
                    Arnoux
                    ARN","FRA","Ferrari","3",1985
"792",19,"Ivan
                    Capelli
                    CAP","ITA","Tyrrell Renault","3",1985
"793",20,"Gerhard
                    Berger
                    BER","AUT","Arrows BMW","3",1985
"794",1,"Alain
                    Prost
                    PRO","FRA","McLaren TAG","72",1986
"795",2,"Nigel
                    Mansell
                    MAN","GBR","Williams Honda","70",1986
"796",3,"Nelson
                    Piquet
                    PIQ","BRA","Williams Honda","69",1986
"797",4,"Ayrton
                    Senna
                    SEN","BRA","Lotus Renault","55",1986
"798",5,"Stefan
                    Johansson
                    JOH","SWE","Ferrari","23",1986
"799",6,"Keke
                    Rosberg
                    ROS","FIN","McLaren TAG","22",1986
"800",7,"Gerhard
                    Berger
                    BER","AUT","Benetton BMW","17",1986
"801",8,"Jacques
                    Laffite
                    LAF","FRA","Ligier Renault","14",1986
"802",9,"Michele
                    Alboreto
                    ALB","ITA","Ferrari","14",1986
"803",10,"Rene
                    Arnoux
                    ARN","FRA","Ligier Renault","14",1986
"804",11,"Martin
                    Brundle
                    BRU","GBR","Tyrrell Renault","8",1986
"805",12,"Alan 
                    Jones
                    JON","AUS","Lola Ford","4",1986
"806",13,"Johnny
                    Dumfries
                    DUM","GBR","Lotus Renault","3",1986
"807",14,"Philippe
                    Streiff
                    STR","FRA","Tyrrell Renault","3",1986
"808",15,"Teo
                    Fabi
                    FAB","ITA","Benetton BMW","2",1986
"809",16,"Patrick
                    Tambay
                    TAM","FRA","Lola Ford","2",1986
"810",17,"Riccardo
                    Patrese
                    PAT","ITA","Brabham BMW","2",1986
"811",18,"Philippe
                    Alliot
                    ALL","FRA","Ligier Renault","1",1986
"812",19,"Christian
                    Danner
                    DAN","GER","Arrows BMW","1",1986
"813",1,"Nelson
                    Piquet
                    PIQ","BRA","Williams Honda","73",1987
"814",2,"Nigel
                    Mansell
                    MAN","GBR","Williams Honda","61",1987
"815",3,"Ayrton
                    Senna
                    SEN","BRA","Lotus Honda","57",1987
"816",4,"Alain
                    Prost
                    PRO","FRA","McLaren TAG","46",1987
"817",5,"Gerhard
                    Berger
                    BER","AUT","Ferrari","36",1987
"818",6,"Stefan
                    Johansson
                    JOH","SWE","McLaren TAG","30",1987
"819",7,"Michele
                    Alboreto
                    ALB","ITA","Ferrari","17",1987
"820",8,"Thierry
                    Boutsen
                    BOU","BEL","Benetton Ford","16",1987
"821",9,"Teo
                    Fabi
                    FAB","ITA","Benetton Ford","12",1987
"822",10,"Eddie 
                    Cheever
                    CHE","USA","Arrows Megatron","8",1987
"823",11,"Jonathan 
                    Palmer
                    PAL","GBR","Tyrrell Ford","7",1987
"824",12,"Satoru
                    Nakajima
                    NAK","JPN","Lotus Honda","7",1987
"825",13,"Riccardo
                    Patrese
                    PAT","ITA","Williams Honda","6",1987
"826",14,"Andrea
                    de Cesaris
                    DEC","ITA","Brabham BMW","4",1987
"827",15,"Philippe
                    Streiff
                    STR","FRA","Tyrrell Ford","4",1987
"828",16,"Derek
                    Warwick
                    WAR","GBR","Arrows Megatron","3",1987
"829",17,"Philippe
                    Alliot
                    ALL","FRA","Lola Ford","3",1987
"830",18,"Martin
                    Brundle
                    BRU","GBR","Zakspeed","2",1987
"831",19,"Rene
                    Arnoux
                    ARN","FRA","Ligier Megatron","1",1987
"832",20,"Ivan
                    Capelli
                    CAP","ITA","March Ford","1",1987
"833",21,"Roberto
                    Moreno
                    MOR","BRA","AGS Ford","1",1987
"834",1,"Ayrton
                    Senna
                    SEN","BRA","McLaren Honda","90",1988
"835",2,"Alain
                    Prost
                    PRO","FRA","McLaren Honda","87",1988
"836",3,"Gerhard
                    Berger
                    BER","AUT","Ferrari","41",1988
"837",4,"Thierry
                    Boutsen
                    BOU","BEL","Benetton Ford","27",1988
"838",5,"Michele
                    Alboreto
                    ALB","ITA","Ferrari","24",1988
"839",6,"Nelson
                    Piquet
                    PIQ","BRA","Lotus Honda","22",1988
"840",7,"Ivan
                    Capelli
                    CAP","ITA","March Judd","17",1988
"841",8,"Derek
                    Warwick
                    WAR","GBR","Arrows Megatron","17",1988
"842",9,"Nigel
                    Mansell
                    MAN","GBR","Williams Judd","12",1988
"843",10,"Alessandro
                    Nannini
                    NAN","ITA","Benetton Ford","12",1988
"844",11,"Riccardo
                    Patrese
                    PAT","ITA","Williams Judd","8",1988
"845",12,"Eddie 
                    Cheever
                    CHE","USA","Arrows Megatron","6",1988
"846",13,"Mauricio
                    Gugelmin
                    GUG","BRA","March Judd","5",1988
"847",14,"Jonathan 
                    Palmer
                    PAL","GBR","Tyrrell Ford","5",1988
"848",15,"Andrea
                    de Cesaris
                    DEC","ITA","Rial Ford","3",1988
"849",16,"Pierluigi
                    Martini
                    MAR","ITA","Minardi Ford","1",1988
"850",17,"Satoru
                    Nakajima
                    NAK","JPN","Lotus Honda","1",1988
"851",1,"Alain
                    Prost
                    PRO","FRA","McLaren Honda","76",1989
"852",2,"Ayrton
                    Senna
                    SEN","BRA","McLaren Honda","60",1989
"853",3,"Riccardo
                    Patrese
                    PAT","ITA","Williams Renault","40",1989
"854",4,"Nigel
                    Mansell
                    MAN","GBR","Ferrari","38",1989
"855",5,"Thierry
                    Boutsen
                    BOU","BEL","Williams Renault","37",1989
"856",6,"Alessandro
                    Nannini
                    NAN","ITA","Benetton Ford","32",1989
"857",7,"Gerhard
                    Berger
                    BER","AUT","Ferrari","21",1989
"858",8,"Nelson
                    Piquet
                    PIQ","BRA","Lotus Judd","12",1989
"859",9,"Jean
                    Alesi
                    ALE","FRA","Tyrrell Ford","8",1989
"860",10,"Derek
                    Warwick
                    WAR","GBR","Arrows Ford","7",1989
"861",11,"Stefan
                    Johansson
                    JOH","SWE","Onyx Ford","6",1989
"862",11,"Michele
                    Alboreto
                    ALB","ITA","Lola Lamborghini","6",1989
"863",11,"Eddie 
                    Cheever
                    CHE","USA","Arrows Ford","6",1989
"864",14,"Johnny
                    Herbert
                    HER","GBR","Tyrrell Ford","5",1989
"865",15,"Pierluigi
                    Martini
                    MAR","ITA","Minardi Ford","5",1989
"866",16,"Andrea
                    de Cesaris
                    DEC","ITA","Dallara Ford","4",1989
"867",16,"Mauricio
                    Gugelmin
                    GUG","BRA","March Judd","4",1989
"868",16,"Stefano
                    Modena
                    MOD","ITA","Brabham Judd","4",1989
"869",19,"Alex
                    Caffi
                    CAF","ITA","Dallara Ford","4",1989
"870",20,"Martin
                    Brundle
                    BRU","GBR","Brabham Judd","4",1989
"871",21,"Christian
                    Danner
                    DAN","GER","Rial Ford","3",1989
"872",21,"Satoru
                    Nakajima
                    NAK","JPN","Lotus Judd","3",1989
"873",23,"Rene
                    Arnoux
                    ARN","FRA","Ligier Ford","2",1989
"874",23,"Emanuele
                    Pirro
                    PIR","ITA","Benetton Ford","2",1989
"875",25,"Jonathan 
                    Palmer
                    PAL","GBR","Tyrrell Ford","2",1989
"876",26,"Gabriele
                    Tarquini
                    TAR","ITA","AGS Ford","1",1989
"877",26,"Philippe
                    Alliot
                    ALL","FRA","Lola Lamborghini","1",1989
"878",26,"Olivier
                    Grouillard
                    GRO","FRA","Ligier Ford","1",1989
"879",26,"Luis
                    Perez-Sala
                    PER","ESP","Minardi Ford","1",1989
"880",1,"Ayrton
                    Senna
                    SEN","BRA","McLaren Honda","78",1990
"881",2,"Alain
                    Prost
                    PRO","FRA","Ferrari","71",1990
"882",3,"Nelson
                    Piquet
                    PIQ","BRA","Benetton Ford","43",1990
"883",3,"Gerhard
                    Berger
                    BER","AUT","McLaren Honda","43",1990
"884",5,"Nigel
                    Mansell
                    MAN","GBR","Ferrari","37",1990
"885",6,"Thierry
                    Boutsen
                    BOU","BEL","Williams Renault","34",1990
"886",7,"Riccardo
                    Patrese
                    PAT","ITA","Williams Renault","23",1990
"887",8,"Alessandro
                    Nannini
                    NAN","ITA","Benetton Ford","21",1990
"888",9,"Jean
                    Alesi
                    ALE","FRA","Tyrrell Ford","13",1990
"889",10,"Ivan
                    Capelli
                    CAP","ITA","Leyton House Judd","6",1990
"890",10,"Roberto
                    Moreno
                    MOR","BRA","Benetton Ford","6",1990
"891",12,"Aguri
                    Suzuki
                    SUZ","JPN","Lola Lamborghini","6",1990
"892",13,"Eric
                    Bernard
                    BER","FRA","Lola Lamborghini","5",1990
"893",14,"Derek
                    Warwick
                    WAR","GBR","Lotus Lamborghini","3",1990
"894",15,"Satoru
                    Nakajima
                    NAK","JPN","Tyrrell Ford","3",1990
"895",16,"Alex
                    Caffi
                    CAF","ITA","Arrows Ford","2",1990
"896",16,"Stefano
                    Modena
                    MOD","ITA","Brabham Judd","2",1990
"897",18,"Mauricio
                    Gugelmin
                    GUG","BRA","Leyton House Judd","1",1990
"898",1,"Ayrton
                    Senna
                    SEN","BRA","McLaren Honda","96",1991
"899",2,"Nigel
                    Mansell
                    MAN","GBR","Williams Renault","72",1991
"900",3,"Riccardo
                    Patrese
                    PAT","ITA","Williams Renault","53",1991
"901",4,"Gerhard
                    Berger
                    BER","AUT","McLaren Honda","43",1991
"902",5,"Alain
                    Prost
                    PRO","FRA","Ferrari","34",1991
"903",6,"Nelson
                    Piquet
                    PIQ","BRA","Benetton Ford","26.5",1991
"904",7,"Jean
                    Alesi
                    ALE","FRA","Ferrari","21",1991
"905",8,"Stefano
                    Modena
                    MOD","ITA","Tyrrell Honda","10",1991
"906",9,"Andrea
                    de Cesaris
                    DEC","ITA","Jordan Ford","9",1991
"907",10,"Roberto
                    Moreno
                    MOR","BRA","Minardi Ferrari","8",1991
"908",11,"Pierluigi
                    Martini
                    MAR","ITA","Minardi Ferrari","6",1991
"909",12,"Jyrki
                    Jarvilehto
                    JAR","FIN","Dallara Judd","4",1991
"910",12,"Bertrand
                    Gachot
                    GAC","FRA","Jordan Ford","4",1991
"911",12,"Michael
                    Schumacher
                    MSC","GER","Benetton Ford","4",1991
"912",15,"Mika
                    Hakkinen
                    HAK","FIN","Lotus Judd","2",1991
"913",15,"Martin
                    Brundle
                    BRU","GBR","Brabham Yamaha","2",1991
"914",15,"Satoru
                    Nakajima
                    NAK","JPN","Tyrrell Honda","2",1991
"915",18,"Julian
                    Bailey
                    BAI","GBR","Lotus Judd","1",1991
"916",18,"Eric
                    Bernard
                    BER","FRA","Lola Ford","1",1991
"917",18,"Ivan
                    Capelli
                    CAP","ITA","Leyton House Ilmor","1",1991
"918",18,"Aguri
                    Suzuki
                    SUZ","JPN","Lola Ford","1",1991
"919",18,"Emanuele
                    Pirro
                    PIR","ITA","Dallara Judd","1",1991
"920",18,"Mark
                    Blundell
                    BLU","GBR","Brabham Yamaha","1",1991
"921",24,"Gianni
                    Morbidelli
                    MOR","ITA","Ferrari","0.5",1991
"922",1,"Nigel
                    Mansell
                    MAN","GBR","Williams Renault","108",1992
"923",2,"Riccardo
                    Patrese
                    PAT","ITA","Williams Renault","56",1992
"924",3,"Michael
                    Schumacher
                    MSC","GER","Benetton Ford","53",1992
"925",4,"Ayrton
                    Senna
                    SEN","BRA","McLaren Honda","50",1992
"926",5,"Gerhard
                    Berger
                    BER","AUT","McLaren Honda","49",1992
"927",6,"Martin
                    Brundle
                    BRU","GBR","Benetton Ford","38",1992
"928",7,"Jean
                    Alesi
                    ALE","FRA","Ferrari","18",1992
"929",8,"Mika
                    Hakkinen
                    HAK","FIN","Lotus Ford","11",1992
"930",9,"Andrea
                    de Cesaris
                    DEC","ITA","Tyrrell Ilmor","8",1992
"931",10,"Michele
                    Alboreto
                    ALB","ITA","Footwork Mugen Honda","6",1992
"932",11,"Erik
                    Comas
                    COM","FRA","Ligier Renault","4",1992
"933",12,"Karl
                    Wendlinger
                    WEN","AUT","March Ilmor","3",1992
"934",12,"Ivan
                    Capelli
                    CAP","ITA","Ferrari","3",1992
"935",14,"Thierry
                    Boutsen
                    BOU","BEL","Ligier Renault","2",1992
"936",15,"Pierluigi
                    Martini
                    MAR","ITA","Dallara Ferrari","2",1992
"937",16,"Johnny
                    Herbert
                    HER","GBR","Lotus Ford","2",1992
"938",17,"Stefano
                    Modena
                    MOD","ITA","Jordan Yamaha","1",1992
"939",18,"Christian
                    Fittipaldi
                    FIT","BRA","Minardi Lamborghini","1",1992
"940",19,"Bertrand
                    Gachot
                    GAC","FRA","Venturi Lamborghini","1",1992
"941",1,"Alain
                    Prost
                    PRO","FRA","Williams Renault","99",1993
"942",2,"Ayrton
                    Senna
                    SEN","BRA","McLaren Ford","73",1993
"943",3,"Damon
                    Hill
                    HIL","GBR","Williams Renault","69",1993
"944",4,"Michael
                    Schumacher
                    MSC","GER","Benetton Ford","52",1993
"945",5,"Riccardo
                    Patrese
                    PAT","ITA","Benetton Ford","20",1993
"946",6,"Jean
                    Alesi
                    ALE","FRA","Ferrari","16",1993
"947",7,"Martin
                    Brundle
                    BRU","GBR","Ligier Renault","13",1993
"948",8,"Gerhard
                    Berger
                    BER","AUT","Ferrari","12",1993
"949",9,"Johnny
                    Herbert
                    HER","GBR","Lotus Ford","11",1993
"950",10,"Mark
                    Blundell
                    BLU","GBR","Ligier Renault","10",1993
"951",11,"Michael
                    Andretti
                    AND","USA","McLaren Ford","7",1993
"952",12,"Karl
                    Wendlinger
                    WEN","AUT","Sauber","7",1993
"953",13,"Christian
                    Fittipaldi
                    FIT","BRA","Minardi Ford","5",1993
"954",13,"Jyrki
                    Jarvilehto
                    JAR","FIN","Sauber","5",1993
"955",15,"Mika
                    Hakkinen
                    HAK","FIN","McLaren Ford","4",1993
"956",16,"Derek
                    Warwick
                    WAR","GBR","Footwork Mugen Honda","4",1993
"957",17,"Philippe
                    Alliot
                    ALL","FRA","Larrousse Lamborghini","2",1993
"958",17,"Rubens
                    Barrichello
                    BAR","BRA","Jordan Hart","2",1993
"959",19,"Fabrizio
                    Barbazza
                    BAR","ITA","Minardi Ford","2",1993
"960",20,"Alessandro
                    Zanardi
                    ZAN","ITA","Lotus Ford","1",1993
"961",20,"Erik
                    Comas
                    COM","FRA","Larrousse Lamborghini","1",1993
"962",20,"Eddie
                    Irvine
                    IRV","GBR","Jordan Hart","1",1993
"963",1,"Michael
                    Schumacher
                    MSC","GER","Benetton Ford","92",1994
"964",2,"Damon
                    Hill
                    HIL","GBR","Williams Renault","91",1994
"965",3,"Gerhard
                    Berger
                    BER","AUT","Ferrari","41",1994
"966",4,"Mika
                    Hakkinen
                    HAK","FIN","McLaren Peugeot","26",1994
"967",5,"Jean
                    Alesi
                    ALE","FRA","Ferrari","24",1994
"968",6,"Rubens
                    Barrichello
                    BAR","BRA","Jordan Hart","19",1994
"969",7,"Martin
                    Brundle
                    BRU","GBR","McLaren Peugeot","16",1994
"970",8,"David
                    Coulthard
                    COU","GBR","Williams Renault","14",1994
"971",9,"Nigel
                    Mansell
                    MAN","GBR","Williams Renault","13",1994
"972",10,"Jos
                    Verstappen
                    VER","NED","Benetton Ford","10",1994
"973",11,"Olivier
                    Panis
                    PAN","FRA","Ligier Renault","9",1994
"974",12,"Mark
                    Blundell
                    BLU","GBR","Tyrrell Yamaha","8",1994
"975",13,"Heinz-Harald
                    Frentzen
                    FRE","GER","Sauber Mercedes","7",1994
"976",14,"Nicola
                    Larini
                    LAR","ITA","Ferrari","6",1994
"977",15,"Christian
                    Fittipaldi
                    FIT","BRA","Footwork Ford","6",1994
"978",16,"Eddie
                    Irvine
                    IRV","GBR","Jordan Hart","6",1994
"979",17,"Ukyo
                    Katayama
                    KAT","JPN","Tyrrell Yamaha","5",1994
"980",18,"Eric
                    Bernard
                    BER","FRA","Lotus Mugen Honda","4",1994
"981",19,"Karl
                    Wendlinger
                    WEN","AUT","Sauber Mercedes","4",1994
"982",20,"Andrea
                    de Cesaris
                    DEC","ITA","Sauber Mercedes","4",1994
"983",21,"Pierluigi
                    Martini
                    MAR","ITA","Minardi Ford","4",1994
"984",22,"Gianni
                    Morbidelli
                    MOR","ITA","Footwork Ford","3",1994
"985",23,"Erik
                    Comas
                    COM","FRA","Larrousse Ford","2",1994
"986",24,"Michele
                    Alboreto
                    ALB","ITA","Minardi Ford","1",1994
"987",25,"Jyrki
                    Jarvilehto
                    JAR","FIN","Sauber Mercedes","1",1994
"988",1,"Michael
                    Schumacher
                    MSC","GER","Benetton Renault","102",1995
"989",2,"Damon
                    Hill
                    HIL","GBR","Williams Renault","69",1995
"990",3,"David
                    Coulthard
                    COU","GBR","Williams Renault","49",1995
"991",4,"Johnny
                    Herbert
                    HER","GBR","Benetton Renault","45",1995
"992",5,"Jean
                    Alesi
                    ALE","FRA","Ferrari","42",1995
"993",6,"Gerhard
                    Berger
                    BER","AUT","Ferrari","31",1995
"994",7,"Mika
                    Hakkinen
                    HAK","FIN","McLaren Mercedes","17",1995
"995",8,"Olivier
                    Panis
                    PAN","FRA","Ligier Mugen Honda","16",1995
"996",9,"Heinz-Harald
                    Frentzen
                    FRE","GER","Sauber Ford","15",1995
"997",10,"Mark
                    Blundell
                    BLU","GBR","McLaren Mercedes","13",1995
"998",11,"Rubens
                    Barrichello
                    BAR","BRA","Jordan Peugeot","11",1995
"999",12,"Eddie
                    Irvine
                    IRV","GBR","Jordan Peugeot","10",1995
"1000",13,"Martin
                    Brundle
                    BRU","GBR","Ligier Mugen Honda","7",1995
"1001",14,"Gianni
                    Morbidelli
                    MOR","ITA","Footwork Hart","5",1995
"1002",15,"Mika
                    Salo
                    SAL","FIN","Tyrrell Yamaha","5",1995
"1003",16,"Jean-Christophe
                    Boullion
                    BOU","FRA","Sauber Ford","3",1995
"1004",17,"Aguri
                    Suzuki
                    SUZ","JPN","Ligier Mugen Honda","1",1995
"1005",18,"Pedro
                    Lamy
                    LAM","POR","Minardi Ford","1",1995
"1006",1,"Damon
                    Hill
                    HIL","GBR","Williams Renault","97",1996
"1007",2,"Jacques
                    Villeneuve
                    VIL","CAN","Williams Renault","78",1996
"1008",3,"Michael
                    Schumacher
                    MSC","GER","Ferrari","59",1996
"1009",4,"Jean
                    Alesi
                    ALE","FRA","Benetton Renault","47",1996
"1010",5,"Mika
                    Hakkinen
                    HAK","FIN","McLaren Mercedes","31",1996
"1011",6,"Gerhard
                    Berger
                    BER","AUT","Benetton Renault","21",1996
"1012",7,"David
                    Coulthard
                    COU","GBR","McLaren Mercedes","18",1996
"1013",8,"Rubens
                    Barrichello
                    BAR","BRA","Jordan Peugeot","14",1996
"1014",9,"Olivier
                    Panis
                    PAN","FRA","Ligier Mugen Honda","13",1996
"1015",10,"Eddie
                    Irvine
                    IRV","GBR","Ferrari","11",1996
"1016",11,"Martin
                    Brundle
                    BRU","GBR","Jordan Peugeot","8",1996
"1017",12,"Heinz-Harald
                    Frentzen
                    FRE","GER","Sauber Ford","7",1996
"1018",13,"Mika
                    Salo
                    SAL","FIN","Tyrrell Yamaha","5",1996
"1019",14,"Johnny
                    Herbert
                    HER","GBR","Sauber Ford","4",1996
"1020",15,"Pedro
                    Diniz
                    DIN","BRA","Ligier Mugen Honda","2",1996
"1021",16,"Jos
                    Verstappen
                    VER","NED","Footwork Hart","1",1996
"1022",1,"Jacques
                    Villeneuve
                    VIL","CAN","Williams Renault","81",1997
"1023",NA,"Michael
                    Schumacher
                    MSC","GER","Ferrari","78",1997
"1024",2,"Heinz-Harald
                    Frentzen
                    FRE","GER","Williams Renault","42",1997
"1025",3,"David
                    Coulthard
                    COU","GBR","McLaren Mercedes","36",1997
"1026",4,"Jean
                    Alesi
                    ALE","FRA","Benetton Renault","36",1997
"1027",5,"Gerhard
                    Berger
                    BER","AUT","Benetton Renault","27",1997
"1028",6,"Mika
                    Hakkinen
                    HAK","FIN","McLaren Mercedes","27",1997
"1029",7,"Eddie
                    Irvine
                    IRV","GBR","Ferrari","24",1997
"1030",8,"Giancarlo
                    Fisichella
                    FIS","ITA","Jordan Peugeot","20",1997
"1031",9,"Olivier
                    Panis
                    PAN","FRA","Prost Mugen Honda","16",1997
"1032",10,"Johnny
                    Herbert
                    HER","GBR","Sauber Petronas","15",1997
"1033",11,"Ralf
                    Schumacher
                    RSC","GER","Jordan Peugeot","13",1997
"1034",12,"Damon
                    Hill
                    HIL","GBR","Arrows Yamaha","7",1997
"1035",13,"Rubens
                    Barrichello
                    BAR","BRA","Stewart Ford","6",1997
"1036",14,"Alexander
                    Wurz
                    WUR","AUT","Benetton Renault","4",1997
"1037",15,"Jarno
                    Trulli
                    TRU","ITA","Prost Mugen Honda","3",1997
"1038",16,"Mika
                    Salo
                    SAL","FIN","Tyrrell Ford","2",1997
"1039",17,"Pedro
                    Diniz
                    DIN","BRA","Arrows Yamaha","2",1997
"1040",18,"Shinji
                    Nakano
                    NAK","JPN","Prost Mugen Honda","2",1997
"1041",19,"Nicola
                    Larini
                    LAR","ITA","Sauber Petronas","1",1997
"1042",1,"Mika
                    Hakkinen
                    HAK","FIN","McLaren Mercedes","100",1998
"1043",2,"Michael
                    Schumacher
                    MSC","GER","Ferrari","86",1998
"1044",3,"David
                    Coulthard
                    COU","GBR","McLaren Mercedes","56",1998
"1045",4,"Eddie
                    Irvine
                    IRV","GBR","Ferrari","47",1998
"1046",5,"Jacques
                    Villeneuve
                    VIL","CAN","Williams Mecachrome","21",1998
"1047",6,"Damon
                    Hill
                    HIL","GBR","Jordan Mugen Honda","20",1998
"1048",7,"Heinz-Harald
                    Frentzen
                    FRE","GER","Williams Mecachrome","17",1998
"1049",8,"Alexander
                    Wurz
                    WUR","AUT","Benetton Playlife","17",1998
"1050",9,"Giancarlo
                    Fisichella
                    FIS","ITA","Benetton Playlife","16",1998
"1051",10,"Ralf
                    Schumacher
                    RSC","GER","Jordan Mugen Honda","14",1998
"1052",11,"Jean
                    Alesi
                    ALE","FRA","Sauber Petronas","9",1998
"1053",12,"Rubens
                    Barrichello
                    BAR","BRA","Stewart Ford","4",1998
"1054",13,"Mika
                    Salo
                    SAL","FIN","Arrows","3",1998
"1055",14,"Pedro
                    Diniz
                    DIN","BRA","Arrows","3",1998
"1056",15,"Johnny
                    Herbert
                    HER","GBR","Sauber Petronas","1",1998
"1057",16,"Jan
                    Magnussen
                    MAG","DEN","Stewart Ford","1",1998
"1058",17,"Jarno
                    Trulli
                    TRU","ITA","Prost Peugeot","1",1998
"1059",18,"Ricardo
                    Rosset
                    ROS","BRA","Tyrrell Ford","0",1998
"1060",19,"Olivier
                    Panis
                    PAN","FRA","Prost Peugeot","0",1998
"1061",20,"Toranosuke
                    Takagi
                    TAK","JPN","Tyrrell Ford","0",1998
"1062",21,"Shinji
                    Nakano
                    NAK","JPN","Minardi Ford","0",1998
"1063",22,"Esteban
                    Tuero
                    TUE","ARG","Minardi Ford","0",1998
"1064",23,"Jos
                    Verstappen
                    VER","NED","Stewart Ford","0",1998
"1065",1,"Mika
                    Hakkinen
                    HAK","FIN","McLaren Mercedes","76",1999
"1066",2,"Eddie
                    Irvine
                    IRV","GBR","Ferrari","74",1999
"1067",3,"Heinz-Harald
                    Frentzen
                    FRE","GER","Jordan Mugen Honda","54",1999
"1068",4,"David
                    Coulthard
                    COU","GBR","McLaren Mercedes","48",1999
"1069",5,"Michael
                    Schumacher
                    MSC","GER","Ferrari","44",1999
"1070",6,"Ralf
                    Schumacher
                    RSC","GER","Williams Supertec","35",1999
"1071",7,"Rubens
                    Barrichello
                    BAR","BRA","Stewart Ford","21",1999
"1072",8,"Johnny
                    Herbert
                    HER","GBR","Stewart Ford","15",1999
"1073",9,"Giancarlo
                    Fisichella
                    FIS","ITA","Benetton Playlife","13",1999
"1074",10,"Mika
                    Salo
                    SAL","FIN","Ferrari","10",1999
"1075",11,"Jarno
                    Trulli
                    TRU","ITA","Prost Peugeot","7",1999
"1076",12,"Damon
                    Hill
                    HIL","GBR","Jordan Mugen Honda","7",1999
"1077",13,"Alexander
                    Wurz
                    WUR","AUT","Benetton Playlife","3",1999
"1078",14,"Pedro
                    Diniz
                    DIN","BRA","Sauber Petronas","3",1999
"1079",15,"Olivier
                    Panis
                    PAN","FRA","Prost Peugeot","2",1999
"1080",16,"Jean
                    Alesi
                    ALE","FRA","Sauber Petronas","2",1999
"1081",17,"Pedro
                    de la Rosa
                    DLR","ESP","Arrows","1",1999
"1082",18,"Marc
                    Gene
                    GEN","ESP","Minardi Ford","1",1999
"1083",1,"Michael
                    Schumacher
                    MSC","GER","Ferrari","108",2000
"1084",2,"Mika
                    Hakkinen
                    HAK","FIN","McLaren Mercedes","89",2000
"1085",3,"David
                    Coulthard
                    COU","GBR","McLaren Mercedes","73",2000
"1086",4,"Rubens
                    Barrichello
                    BAR","BRA","Ferrari","62",2000
"1087",5,"Ralf
                    Schumacher
                    RSC","GER","Williams BMW","24",2000
"1088",6,"Giancarlo
                    Fisichella
                    FIS","ITA","Benetton Playlife","18",2000
"1089",7,"Jacques
                    Villeneuve
                    VIL","CAN","BAR Honda","17",2000
"1090",8,"Jenson
                    Button
                    BUT","GBR","Williams BMW","12",2000
