lapNo	pit	time	No	name								
11	0	1:12.383	21	E. GUTIERREZ								
12 P	1	2:12.551	21	E. GUTIERREZ								
13	0	45:47.880	21	E. GUTIERREZ								
14	0	1:14.876	21	E. GUTIERREZ								
15	0	1:17.128	21	E. GUTIERREZ								
16	0	1:10.110	21	E. GUTIERREZ								
17	0	1:10.285	21	E. GUTIERREZ								
18	0	1:12.204	21	E. GUTIERREZ								
19	0	1:47.783	21	E. GUTIERREZ								
20 P	1	1:49.024	21	E. GUTIERREZ								
1 P	1	10:03:03	22	J. BUTTON								
2	0	17:54.842	22	J. BUTTON								
3	0	1:20.178	22	J. BUTTON								
4	0	1:11.053	22	J. BUTTON								
5	0	1:17.164	22	J. BUTTON								
6	0	1:10.052	22	J. BUTTON								
7	0	1:35.533	22	J. BUTTON								
8	0	1:15.556	22	J. BUTTON								
9	0	1:10.132	22	J. BUTTON								
10	0	1:18.948	22	J. BUTTON								
11	0	1:09.933	22	J. BUTTON								
12 P	1	1:21.533	22	J. BUTTON								
13 P	1	1:41.476	22	J. BUTTON								
"14
"	0	"29:07.912
"	22	J. BUTTON								
"
15
"	0	"
1:16.737
"	22	J. BUTTON								
16	0	"
1:09.712"	22	J. BUTTON								
15	0	1:20.279	22	J. BUTTON								
16	0	1:09.574	22	J. BUTTON								
19	0	1:23.261	22	J. BUTTON								
20	0	1:09.365	22	J. BUTTON								
21 P	1	1:24.017	22	J. BUTTON								
22	0	8:43.423	22	J. BUTTON								
23	0	1:12.035	22	J. BUTTON								
24	0	1:11.705	22	J. BUTTON								
25	0	1:11.762	22	J. BUTTON								
26	0	1:11.984	22	J. BUTTON								
27	0	1:12.109	22	J. BUTTON								
28	0	1:14.841	22	J. BUTTON								
29	0	1:13.621	22	J. BUTTON								
"30
"	0	"1:43.118
"	22	J. BUTTON								
"
31 P"	1	"
1:53.199"	22	J. BUTTON								
1 P	1	10:03:14	26	D. KVYAT								
2	0	20:10.141	26	D. KVYAT								
3	0	1:17.211	26	D. KVYAT								
4	0	1:11.276	26	D. KVYAT								
5	0	1:37.089	26	D. KVYAT								
6	0	1:22.068	26	D. KVYAT								
7	0	1:11.000	26	D. KVYAT								
8	0	1:18.486	26	D. KVYAT								
9	0	1:10.009	26	D. KVYAT								
10	0	1:22.026	26	D. KVYAT								
11	0	1:10.079	26	D. KVYAT								
12 P	1	1:19.393	26	D. KVYAT								
13 P	1	1:40.114	26	D. KVYAT								
14	0	18:38.148	26	D. KVYAT								
15	0	1:09.511	26	D. KVYAT								
16	0	1:24.908	26	D. KVYAT								
17	0	1:25.473	26	D. KVYAT								
18	0	1:38.749	26	D. KVYAT								
19	0	1:15.756	26	D. KVYAT								
20	0	1:08.990	26	D. KVYAT								
21	0	1:19.741	26	D. KVYAT								
22 P	1	1:14.726	26	D. KVYAT								
23 P	1	10:05.606	26	D. KVYAT								
24	0	5:24.312	26	D. KVYAT								
25	0	1:12.576	26	D. KVYAT								
26	0	1:12.280	26	D. KVYAT								
27	0	1:12.089	26	D. KVYAT								
28	0	1:26.534	26	D. KVYAT								
29	0	1:13.270	26	D. KVYAT								
30	0	1:12.793	26	D. KVYAT								
31	0	1:30.363	26	D. KVYAT								
32 P	1	1:54.028	26	D. KVYAT								
1 P	1	10:02:35	27	N. HULKENBERG								
2	0	10:11.315	27	N. HULKENBERG								
3	0	1:12.453	27	N. HULKENBERG								
4	0	1:10.882	27	N. HULKENBERG								
5	0	1:10.745	27	N. HULKENBERG								
6	0	1:15.143	27	N. HULKENBERG								
7	0	1:13.086	27	N. HULKENBERG								
8 P	1	1:19.568	27	N. HULKENBERG								
9	0	8:49.200	27	N. HULKENBERG								
10	0	1:11.266	27	N. HULKENBERG								
11	0	1:16.238	27	N. HULKENBERG								
12	0	1:11.847	27	N. HULKENBERG								
13	0	1:10.741	27	N. HULKENBERG								
14	0	1:10.394	27	N. HULKENBERG								
15	0	1:10.528	27	N. HULKENBERG								
16 P	1	1:24.311	27	N. HULKENBERG								
17	0	17:53.432	27	N. HULKENBERG								
18	0	1:09.833	27	N. HULKENBERG								
19	0	1:20.907	27	N. HULKENBERG								
20	0	1:13.806	27	N. HULKENBERG								
21	0	1:27.307	27	N. HULKENBERG								
22	0	1:39.532	27	N. HULKENBERG								
23	0	1:14.297	27	N. HULKENBERG								
24	0	1:09.280	27	N. HULKENBERG								
25 P	1	1:20.811	27	N. HULKENBERG								
26	0	6:57.220	27	N. HULKENBERG								
27	0	1:11.900	27	N. HULKENBERG								
28	0	1:11.706	27	N. HULKENBERG								
29	0	1:11.860	27	N. HULKENBERG								
30	0	1:14.855	27	N. HULKENBERG								
31	0	1:12.184	27	N. HULKENBERG								
32	0	1:12.845	27	N. HULKENBERG								
33	0	1:12.392	27	N. HULKENBERG								
34	0	1:12.188	27	N. HULKENBERG								
35	0	1:12.919	27	N. HULKENBERG								
36	0	1:12.305	27	N. HULKENBERG								
37	0	1:13.616	27	N. HULKENBERG								
38	0	1:12.421	27	N. HULKENBERG								
39	0	1:12.574	27	N. HULKENBERG								
40	0	1:12.524	27	N. HULKENBERG								
41	0	1:12.873	27	N. HULKENBERG								
42	0	2:07.221	27	N. HULKENBERG								
43 P	1	1:47.972	27	N. HULKENBERG								
1 P	1	10:01:40	30	J. PALMER								
2 P	1	1:51.738	30	J. PALMER								
3	0	21:33.190	30	J. PALMER								
4	0	1:25.792	30	J. PALMER								
5	0	1:22.172	30	J. PALMER								
6	0	1:10.729	30	J. PALMER								
7	0	1:10.692	30	J. PALMER								
8	0	1:11.275	30	J. PALMER								
9	0	1:18.232	30	J. PALMER								
10	0	1:11.637	30	J. PALMER								
11	0	1:11.905	30	J. PALMER								
12 P	1	1:20.182	30	J. PALMER								
13	0	30:08.206	30	J. PALMER								
14	0	1:09.851	30	J. PALMER								
15	0	1:19.080	30	J. PALMER								
16	0	1:09.931	30	J. PALMER								
17	0	1:15.112	30	J. PALMER								
18	0	1:19.323	30	J. PALMER								
19	0	1:10.156	30	J. PALMER								
20	0	1:10.349	30	J. PALMER								
21	0	1:17.284	30	J. PALMER								
22	0	1:10.939	30	J. PALMER								
23	0	1:19.701	30	J. PALMER								
24	0	1:11.302	30	J. PALMER								
25 P	1	1:22.575	30	J. PALMER								
26	0	8:56.720	30	J. PALMER								
27	0	1:29.104	30	J. PALMER								
28 P	1	1:47.540	30	J. PALMER								
1	0	10:05:32	33	M. VERSTAPPEN								
2	0	1:11.707	33	M. VERSTAPPEN								
3	0	1:19.562	33	M. VERSTAPPEN								
4	0	1:10.099	33	M. VERSTAPPEN								
5 P	1	1:24.693	33	M. VERSTAPPEN								
6	0	11:54.904	33	M. VERSTAPPEN								
7	0	1:20.699	33	M. VERSTAPPEN								
8	0	1:09.909	33	M. VERSTAPPEN								
9	0	1:29.323	33	M. VERSTAPPEN								
10	0	1:24.942	33	M. VERSTAPPEN								
11	0	1:09.767	33	M. VERSTAPPEN								
12	0	1:17.431	33	M. VERSTAPPEN								
13	0	1:09.246	33	M. VERSTAPPEN								
14	0	1:16.235	33	M. VERSTAPPEN								
15	0	1:09.106	33	M. VERSTAPPEN								
16	0	1:17.267	33	M. VERSTAPPEN								
17	0	1:08.962	33	M. VERSTAPPEN								
18 P	1	1:22.212	33	M. VERSTAPPEN								
19	0	19:49.231	33	M. VERSTAPPEN								
20	0	1:15.549	33	M. VERSTAPPEN								
1 P	1	10:02:52	34	A. CELIS								
2	0	10:28.184	34	A. CELIS								
3	0	1:16.926	34	A. CELIS								
4	0	1:14.554	34	A. CELIS								
5	0	1:13.175	34	A. CELIS								
6	0	1:17.074	34	A. CELIS								
7	0	1:12.452	34	A. CELIS								
8	0	1:11.945	34	A. CELIS								
9 P	1	1:22.752	34	A. CELIS								
10	0	7:40.544	34	A. CELIS								
11	0	1:12.683	34	A. CELIS								
12	0	1:12.746	34	A. CELIS								
13	0	1:11.559	34	A. CELIS								
14	0	1:14.565	34	A. CELIS								
15	0	1:11.285	34	A. CELIS								
16 P	1	1:25.236	34	A. CELIS								
17	0	16:23.551	34	A. CELIS								
"18
"	0	"1:11.337
"	34	A. CELIS								
"
19"	0	"
1:17.142"	34	A. CELIS								
20	0	1:18.104	34	A. CELIS								
21	0	1:10.860	34	A. CELIS								
22	0	1:18.387	34	A. CELIS								
23	0	1:44.507	34	A. CELIS								
24	0	1:23.975	34	A. CELIS								
25	0	1:11.955	34	A. CELIS								
26 P	1	1:25.719	34	A. CELIS								
27 P	1	2:05.043	34	A. CELIS								
28	0	13:25.685	34	A. CELIS								
29	0	1:17.528	34	A. CELIS								
30	0	1:11.074	34	A. CELIS								
31	0	1:14.620	34	A. CELIS								
32	0	1:11.496	34	A. CELIS								
33	0	1:20.367	34	A. CELIS								
34	0	1:17.172	34	A. CELIS								
35	0	1:13.891	34	A. CELIS								
36	0	1:30.749	34	A. CELIS								
37 P	1	2:08.024	34	A. CELIS								
1	0	10:17:28	44	L. HAMILTON								
2	0	1:18.019	44	L. HAMILTON								
3	0	1:15.942	44	L. HAMILTON								
4	0	1:09.885	44	L. HAMILTON								
5	0	1:13.426	44	L. HAMILTON								
6	0	1:08.808	44	L. HAMILTON								
7	0	1:19.822	44	L. HAMILTON								
8	0	1:30.547	44	L. HAMILTON								
9 P	1	1:26.690	44	L. HAMILTON								
10	0	7:09.529	44	L. HAMILTON								
11	0	1:14.337	44	L. HAMILTON								
12	0	1:09.767	44	L. HAMILTON								
13 P	1	1:19.261	44	L. HAMILTON								
14	0	17:34.268	44	L. HAMILTON								
15	0	1:13.050	44	L. HAMILTON								
16	0	1:14.211	44	L. HAMILTON								
17	0	1:08.086	44	L. HAMILTON								
18 P	1	1:41.169	44	L. HAMILTON								
19	0	5:57.620	44	L. HAMILTON								
20	0	1:14.468	44	L. HAMILTON								
21	0	1:07.995	44	L. HAMILTON								
22	0	1:23.903	44	L. HAMILTON								
23	0	1:07.730	44	L. HAMILTON								
24 P	1	1:20.589	44	L. HAMILTON								
25 P	1	1:57.757	44	L. HAMILTON								
26	0	7:00.644	44	L. HAMILTON								
27	0	1:11.786	44	L. HAMILTON								
28	0	1:15.340	44	L. HAMILTON								
29	0	1:11.506	44	L. HAMILTON								
30	0	1:11.465	44	L. HAMILTON								
31 P	1	1:16.828	44	L. HAMILTON								
32	0	2:03.369	44	L. HAMILTON								
33	0	1:57.365	44	L. HAMILTON								
34 P	1	2:15.139	44	L. HAMILTON								
1 P	1	10:03:13	55	C. SAINZ								
2	0	22:24.226	55	C. SAINZ								
3	0	1:34.210	55	C. SAINZ								
4	0	1:11.855	55	C. SAINZ								
5	0	1:11.056	55	C. SAINZ								
6	0	1:10.283	55	C. SAINZ								
7	0	1:18.535	55	C. SAINZ								
8	0	1:10.231	55	C. SAINZ								
9	0	1:21.025	55	C. SAINZ								
10 P	1	1:16.526	55	C. SAINZ								
11 P	1	1:40.620	55	C. SAINZ								
12	0	20:56.800	55	C. SAINZ								
13	0	1:20.655	55	C. SAINZ								
14	0	1:40.543	55	C. SAINZ								
15	0	1:27.744	55	C. SAINZ								
16	0	1:09.216	55	C. SAINZ								
17	0	1:28.621	55	C. SAINZ								
18	0	1:18.995	55	C. SAINZ								
19	0	1:08.803	55	C. SAINZ								
20 P	1	1:21.042	55	C. SAINZ								
21	0	7:22.225	55	C. SAINZ								
22	0	1:11.748	55	C. SAINZ								
23	0	1:12.124	55	C. SAINZ								
24	0	1:12.019	55	C. SAINZ								
25	0	1:13.038	55	C. SAINZ								
26 P	1	1:17.156	55	C. SAINZ								
27	0	1:44.903	55	C. SAINZ								
28	0	1:15.919	55	C. SAINZ								
29	0	1:13.088	55	C. SAINZ								
30	0	1:13.122	55	C. SAINZ								
31	0	1:12.951	55	C. SAINZ								
32	0	1:13.304	55	C. SAINZ								
33	0	1:42.339	55	C. SAINZ								
34 P	1	1:56.898	55	C. SAINZ								
1 P	1	10:02:48	77	V. BOTTAS								
2	0	12:49.382	77	V. BOTTAS								
3	0	1:10.785	77	V. BOTTAS								
4	0	1:10.318	77	V. BOTTAS								
5	0	1:11.191	77	V. BOTTAS								
6	0	1:10.011	77	V. BOTTAS								
7	0	1:17.317	77	V. BOTTAS								
8	0	1:10.221	77	V. BOTTAS								
9	0	1:12.114	77	V. BOTTAS								
10	0	1:21.820	77	V. BOTTAS								
11	0	1:30.055	77	V. BOTTAS								
12	0	1:26.451	77	V. BOTTAS								
13	0	1:12.578	77	V. BOTTAS								
14	0	1:12.904	77	V. BOTTAS								
15	0	1:09.632	77	V. BOTTAS								
16	0	1:16.642	77	V. BOTTAS								
17	0	1:12.660	77	V. BOTTAS								
18	0	1:10.685	77	V. BOTTAS								
19 P	1	1:25.928	77	V. BOTTAS								
20 P	1	1:42.385	77	V. BOTTAS								
21	0	22:02.070	77	V. BOTTAS								
